symbol,name,sector,industry
2437,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ,Industrials,サービス業
2438,アスカネット,Industrials,サービス業
2440,ぐるなび,Industrials,サービス業
2445,タカミヤ,Industrials,サービス業
2449,プラップジャパン,Industrials,サービス業
2452,コンピュータマインド,Communication Services,情報･通信業
2454,オールアバウト,Industrials,サービス業
2459,アウンコンサルティング,Industrials,サービス業
2461,ファンコミュニケーションズ,Industrials,サービス業
2462,ライク,Industrials,サービス業
2464,Ａｏｂａ‐ＢＢＴ,Industrials,サービス業
2468,フュートレック,Industrials,サービス業
2469,ヒビノ,Industrials,サービス業
2471,エスプール,Industrials,サービス業
2475,ＷＤＢホールディングス,Industrials,サービス業
2477,手間いらず,Communication Services,情報･通信業
2479,ジェイテック,Industrials,サービス業
2480,システム・ロケーション,Communication Services,情報･通信業
2481,タウンニュース社,Industrials,サービス業
2483,翻訳センター,Industrials,サービス業
2484,出前館,Communication Services,情報･通信業
2485,ティア,Industrials,サービス業
2487,ＣＤＧ,Industrials,サービス業
2488,ＪＴＰ,Industrials,サービス業
2489,アドウェイズ,Industrials,サービス業
2491,バリューコマース,Industrials,サービス業
2492,インフォマート,Industrials,サービス業
2493,イーサポートリンク,Industrials,サービス業
2497,ユナイテッド,Industrials,サービス業
2498,オリエンタルコンサルタンツホールディングス,Industrials,サービス業
2499,日本和装ホールディングス,Industrials,サービス業
2501,サッポロホールディングス,Consumer Defensive,食料品
2502,アサヒグループホールディングス,Consumer Defensive,食料品
2503,キリンホールディングス,Consumer Defensive,食料品
2531,宝ホールディングス,Consumer Defensive,食料品
2533,オエノンホールディングス,Consumer Defensive,食料品
2540,養命酒製造,Consumer Defensive,食料品
2573,北海道コカ・コーラボトリング,Consumer Defensive,食料品
2579,コカ・コーラ　ボトラーズジャパンホールディングス,Consumer Defensive,食料品
2585,ライフドリンク　カンパニー,Consumer Defensive,食料品
2586,フルッタフルッタ,Consumer Defensive,食料品
2587,サントリー食品インターナショナル,Consumer Defensive,食料品
2588,プレミアムウォーターホールディングス,Consumer Defensive,食料品
2590,ダイドーグループホールディングス,Consumer Defensive,食料品
2593,伊藤園,Consumer Defensive,食料品
2594,キーコーヒー,Consumer Defensive,食料品
2597,ユニカフェ,Consumer Defensive,食料品
2599,ジャパンフーズ,Consumer Defensive,食料品
2602,日清オイリオグループ,Consumer Defensive,食料品
2607,不二製油グループ本社,Consumer Defensive,食料品
2612,かどや製油,Consumer Defensive,食料品
2613,Ｊ−オイルミルズ,Consumer Defensive,食料品
2652,まんだらけ,Consumer Cyclical,小売業
2653,イオン九州,Consumer Cyclical,小売業
2654,アスモ,Consumer Cyclical,小売業
2656,ベクターホールディングス,Consumer Cyclical,小売業
2659,サンエー,Consumer Cyclical,小売業
2664,カワチ薬品,Consumer Cyclical,小売業
2666,オートウェーブ,Consumer Cyclical,小売業
2667,イメージ　ワン,Industrials,卸売業
2668,タビオ,Industrials,卸売業
2669,カネ美食品,Consumer Cyclical,小売業
2670,エービーシー・マート,Consumer Cyclical,小売業
2673,夢みつけ隊,Consumer Cyclical,小売業
2674,ハードオフコーポレーション,Consumer Cyclical,小売業
2676,高千穂交易,Industrials,卸売業
2678,アスクル,Consumer Cyclical,小売業
2681,ゲオホールディングス,Consumer Cyclical,小売業
2683,魚喜,Consumer Cyclical,小売業
2685,アダストリア,Consumer Cyclical,小売業
2686,ジーフット,Consumer Cyclical,小売業
2687,シー・ヴイ・エス・ベイエリア,Consumer Cyclical,小売業
2689,オルバヘルスケアホールディングス,Industrials,卸売業
2692,伊藤忠食品,Industrials,卸売業
2693,ＹＫＴ,Industrials,卸売業
2694,焼肉坂井ホールディングス,Consumer Cyclical,小売業
2695,くら寿司,Consumer Cyclical,小売業
2698,キャンドゥ,Consumer Cyclical,小売業
2700,木徳神糧,Industrials,卸売業
2702,日本マクドナルドホールディングス,Consumer Cyclical,小売業
2705,大戸屋ホールディングス,Consumer Cyclical,小売業
2708,久世,Industrials,卸売業
2715,エレマテック,Industrials,卸売業
2721,ジェイホールディングス,Industrials,卸売業
2722,ＩＫホールディングス,Consumer Cyclical,小売業
2726,パルグループホールディングス,Consumer Cyclical,小売業
2730,エディオン,Consumer Cyclical,小売業
2733,あらた,Industrials,卸売業
2734,サーラコーポレーション,Consumer Cyclical,小売業
2735,ワッツ,Consumer Cyclical,小売業
