symbol,name,sector,industry,lending
7984,コクヨ,Industrials,その他製品,貸借
7985,ネポン,Materials,金属製品,その他
7987,ナカバヤシ,Industrials,その他製品,貸借
7988,ニフコ,Materials,化学,貸借
7989,立川ブラインド工業,Materials,金属製品,貸借
7990,グローブライド,Industrials,その他製品,貸借
7991,マミヤ・オーピー,Industrials,機械,信用
7992,セーラー万年筆,Industrials,その他製品,信用
7994,岡村製作所,Industrials,その他製品,貸借
7995,日本バルカー工業,Materials,化学,貸借
7999,ＭＵＴＯＨホールディングス,Technology,電気機器,貸借
8001,伊藤忠商事,Industrials,卸売業,貸借
8002,丸紅,Industrials,卸売業,貸借
8005,スクロール,Consumer Cyclical,小売業,貸借
8006,ユアサ・フナショク,Industrials,卸売業,貸借
8007,高島,Industrials,卸売業,貸借
8008,Ｆ＆Ａアクアホールディングス,Industrials,卸売業,貸借
8011,三陽商会,Consumer Cyclical,繊維製品,貸借
8012,長瀬産業,Industrials,卸売業,貸借
8013,ナイガイ,Consumer Cyclical,繊維製品,貸借
8014,蝶理,Industrials,卸売業,貸借
8015,豊田通商,Industrials,卸売業,貸借
8016,オンワードホールディングス,Consumer Cyclical,繊維製品,貸借
8018,三共生興,Industrials,卸売業,貸借
8020,兼松,Industrials,卸売業,貸借
8022,美津濃,Industrials,その他製品,貸借
8023,大興電子通信,Industrials,卸売業,信用
8025,ツカモトコーポレーション,Industrials,卸売業,信用
8028,ファミリーマート,Consumer Cyclical,小売業,貸借
8029,ルック,Consumer Cyclical,繊維製品,貸借
8030,中央魚類,Industrials,卸売業,貸借
8031,三井物産,Industrials,卸売業,貸借
8032,日本紙パルプ商事,Industrials,卸売業,貸借
8035,東京エレクトロン,Technology,電気機器,貸借
8036,日立ハイテクノロジーズ,Industrials,卸売業,貸借
8037,カメイ,Industrials,卸売業,貸借
8038,東都水産,Industrials,卸売業,貸借
8039,築地魚市場,Industrials,卸売業,貸借
8040,東京ソワール,Consumer Cyclical,繊維製品,信用
8043,スターゼン,Industrials,卸売業,貸借
8044,大都魚類,Industrials,卸売業,信用
8046,丸藤シートパイル,Industrials,卸売業,貸借
8050,セイコーホールディングス,Technology,精密機器,貸借
8051,山善,Industrials,卸売業,貸借
8052,椿本興業,Industrials,卸売業,貸借
8053,住友商事,Industrials,卸売業,貸借
8056,日本ユニシス,Communication Services,情報･通信業,貸借
8057,内田洋行,Industrials,卸売業,貸借
8058,三菱商事,Industrials,卸売業,貸借
8059,第一実業,Industrials,卸売業,貸借
8060,キヤノンマーケティングジャパン,Industrials,卸売業,貸借
8061,西華産業,Industrials,卸売業,貸借
8065,佐藤商事,Industrials,卸売業,信用
8066,三谷商事,Industrials,卸売業,貸借
8068,菱洋エレクトロ,Industrials,卸売業,貸借
8070,東京産業,Industrials,卸売業,貸借
8074,ユアサ商事,Industrials,卸売業,貸借
8075,神鋼商事,Industrials,卸売業,貸借
8078,阪和興業,Industrials,卸売業,貸借
8079,正栄食品工業,Industrials,卸売業,貸借
8081,カナデン,Industrials,卸売業,信用
8084,菱電商事,Industrials,卸売業,貸借
8085,ナラサキ産業,Industrials,卸売業,信用
8086,ニプロ,Technology,精密機器,貸借
8087,フルサト工業,Industrials,卸売業,信用
8088,岩谷産業,Industrials,卸売業,貸借
8089,すてきナイスグループ,Industrials,卸売業,貸借
8090,昭光通商,Industrials,卸売業,貸借
8091,ニチモウ,Industrials,卸売業,貸借
8093,極東貿易,Industrials,卸売業,貸借
8095,イワキ,Industrials,卸売業,貸借
8096,兼松エレクトロニクス,Communication Services,情報･通信業,貸借
8097,三愛石油,Industrials,卸売業,貸借
8098,稲畑産業,Industrials,卸売業,貸借
8101,ＧＳＩクレオス,Industrials,卸売業,貸借
8103,明和産業,Industrials,卸売業,貸借
8105,堀田丸正,Industrials,卸売業,信用
8110,ＪＦＥ商事,Industrials,卸売業,貸借
8111,ゴールドウイン,Consumer Cyclical,繊維製品,貸借
8113,ユニ・チャーム,Materials,化学,貸借
8114,デサント,Consumer Cyclical,繊維製品,貸借
8127,ヤマトインターナショナル,Consumer Cyclical,繊維製品,貸借
8129,東邦ホールディングス,Industrials,卸売業,貸借
8130,サンゲツ,Industrials,卸売業,貸借
8131,ミツウロコグループホールディングス,Industrials,卸売業,貸借
8132,シナネン,Industrials,卸売業,貸借
8133,伊藤忠エネクス,Industrials,卸売業,貸借
8136,サンリオ,Industrials,卸売業,貸借
8137,サンワテクノス,Industrials,卸売業,信用
8139,ナガホリ,Industrials,卸売業,信用
8140,リョーサン,Industrials,卸売業,貸借
8141,新光商事,Industrials,卸売業,貸借
8142,トーホー,Industrials,卸売業,貸借
8143,ラピーヌ,Consumer Cyclical,繊維製品,信用
8150,三信電気,Industrials,卸売業,貸借
8151,東陽テクニカ,Industrials,卸売業,貸借
8152,ソマール,Industrials,卸売業,信用
8153,モスフードサービス,Industrials,卸売業,信用
8154,加賀電子,Industrials,卸売業,信用
8155,三益半導体工業,Materials,金属製品,貸借
8157,都築電気,Industrials,卸売業,信用
8158,ソーダニッカ,Industrials,卸売業,貸借
8159,立花エレテック,Industrials,卸売業,貸借
8160,木曽路,Consumer Cyclical,小売業,貸借
8165,千趣会,Consumer Cyclical,小売業,貸借
8166,タカキュー,Consumer Cyclical,小売業,貸借
8167,丸久,Consumer Cyclical,小売業,貸借
8168,ケーヨー,Consumer Cyclical,小売業,貸借
8170,アデランス,Industrials,その他製品,貸借
8173,上新電機,Consumer Cyclical,小売業,貸借
8174,日本瓦斯,Consumer Cyclical,小売業,貸借
8175,ベスト電器,Consumer Cyclical,小売業,貸借
8178,マルエツ,Consumer Cyclical,小売業,貸借
8179,ロイヤルホールディングス,Consumer Cyclical,小売業,貸借
8181,東天紅,Consumer Cyclical,小売業,信用
8182,いなげや,Consumer Cyclical,小売業,信用
8184,島忠,Consumer Cyclical,小売業,貸借
8185,チヨダ,Consumer Cyclical,小売業,貸借
8194,ライフコーポレーション,Consumer Cyclical,小売業,信用
8196,カスミ,Consumer Cyclical,小売業,貸借
8198,マックスバリュ東海,Consumer Cyclical,小売業,信用
8200,リンガーハット,Consumer Cyclical,小売業,貸借
8201,さが美,Consumer Cyclical,小売業,信用
8202,ラオックス,Consumer Cyclical,小売業,貸借
8203,ＭｒＭａｘ,Consumer Cyclical,小売業,貸借
8207,テンアライド,Consumer Cyclical,小売業,信用
8214,ＡＯＫＩホールディングス,Consumer Cyclical,小売業,貸借
8217,オークワ,Consumer Cyclical,小売業,貸借
8218,コメリ,Consumer Cyclical,小売業,貸借
8219,青山商事,Consumer Cyclical,小売業,貸借
8226,理経,Industrials,卸売業,信用
8227,しまむら,Consumer Cyclical,小売業,貸借
8229,ＣＦＳコーポレーション,Consumer Cyclical,小売業,貸借
8230,はせがわ,Consumer Cyclical,小売業,信用
8233,高島屋,Consumer Cyclical,小売業,貸借
8237,松屋,Consumer Cyclical,小売業,貸借
8242,エイチ・ツー・オー　リテイリング,Consumer Cyclical,小売業,貸借
8245,丸栄,Consumer Cyclical,小売業,貸借
8247,大和,Consumer Cyclical,小売業,信用
8248,ニッセンホールディングス,Consumer Cyclical,小売業,貸借
8249,テクノアソシエ,Industrials,卸売業,信用
8251,パルコ,Consumer Cyclical,小売業,貸借
8252,丸井グループ,Consumer Cyclical,小売業,貸借
8253,クレディセゾン,Financials,その他金融業,貸借
8254,さいか屋,Consumer Cyclical,小売業,貸借
8255,原信ナルスホールディングス,Consumer Cyclical,小売業,貸借
8260,井筒屋,Consumer Cyclical,小売業,貸借
8263,ダイエー,Consumer Cyclical,小売業,貸借
8266,イズミヤ,Consumer Cyclical,小売業,貸借
8267,イオン,Consumer Cyclical,小売業,貸借
8270,ユニー,Consumer Cyclical,小売業,貸借
8273,イズミ,Consumer Cyclical,小売業,貸借
8274,東武ストア,Consumer Cyclical,小売業,貸借
8276,平和堂,Consumer Cyclical,小売業,貸借
8278,フジ,Consumer Cyclical,小売業,貸借
8279,ヤオコー,Consumer Cyclical,小売業,信用
8281,ゼビオ,Consumer Cyclical,小売業,貸借
8282,ケーズホールディングス,Consumer Cyclical,小売業,貸借
8283,Ｐａｌｔａｃ,Industrials,卸売業,貸借
8289,Ｏｌｙｍｐｉｃ,Consumer Cyclical,小売業,貸借
8291,日産東京販売ホールディングス,Consumer Cyclical,小売業,貸借
8303,新生銀行,Financials,銀行業,貸借
8304,あおぞら銀行,Financials,銀行業,貸借
8306,三菱ＵＦＪフィナンシャル・グループ,Financials,銀行業,貸借
8308,りそなホールディングス,Financials,銀行業,貸借
8309,三井住友トラスト・ホールディングス,Financials,銀行業,貸借
8316,三井住友フィナンシャルグループ,Financials,銀行業,貸借
8324,第四銀行,Financials,銀行業,貸借
8325,北越銀行,Financials,銀行業,貸借
8327,西日本シティ銀行,Financials,銀行業,貸借
8328,札幌北洋ホールディングス,Financials,銀行業,貸借
8331,千葉銀行,Financials,銀行業,貸借
8332,横浜銀行,Financials,銀行業,貸借
8333,常陽銀行,Financials,銀行業,貸借
8334,群馬銀行,Financials,銀行業,貸借
8336,武蔵野銀行,Financials,銀行業,貸借
8337,千葉興業銀行,Financials,銀行業,貸借
8338,筑波銀行,Financials,銀行業,貸借
8339,東京都民銀行,Financials,銀行業,貸借
8341,七十七銀行,Financials,銀行業,貸借
8342,青森銀行,Financials,銀行業,貸借
8343,秋田銀行,Financials,銀行業,貸借
8344,山形銀行,Financials,銀行業,貸借
8345,岩手銀行,Financials,銀行業,貸借
8346,東邦銀行,Financials,銀行業,貸借
8349,東北銀行,Financials,銀行業,貸借
8350,みちのく銀行,Financials,銀行業,貸借
8354,ふくおかフィナンシャルグループ,Financials,銀行業,貸借
8355,静岡銀行,Financials,銀行業,貸借
8356,十六銀行,Financials,銀行業,貸借
8358,スルガ銀行,Financials,銀行業,貸借
8359,八十二銀行,Financials,銀行業,貸借
8360,山梨中央銀行,Financials,銀行業,貸借
8361,大垣共立銀行,Financials,銀行業,貸借
