symbol,name,sector,industry
367A,プリモグローバルＨＤ,Consumer Cyclical,6100
3680,ホットリンク,Communication Services,5250
3682,エンカレッジ・テクノロジ,Communication Services,5250
3683,サイバーリンクス,Communication Services,5250
3686,ディー・エル・イー,Communication Services,5250
3687,フィックスターズ,Communication Services,5250
368A,北里,Technology,3750
3690,イルグルム,Communication Services,5250
3691,デジタルプラス,Communication Services,5250
3692,ＦＦＲＩセキュリティ,Communication Services,5250
3694,オプティム,Communication Services,5250
3695,ＧＭＯプロダクトプラット,Communication Services,5250
3696,セ  レ  ス,Communication Services,5250
3697,ＳＨＩＦＴ,Communication Services,5250
3698,ＣＲＩ・ミドルウェア,Communication Services,5250
369A,エータイ,Industrials,9050
3708,特種東海製紙,Materials,3150
3710,ジョルダン,Communication Services,5250
3712,情報企画,Communication Services,5250
3719,ＡＩストーム,Communication Services,5250
3723,日本ファルコム,Communication Services,5250
3726,フォーシーズＨＤ,Consumer Cyclical,6100
3727,アプリックス,Communication Services,5250
372A,レント,Industrials,9050
3733,ソフトウェア・サービス,Communication Services,5250
373A,リップス,Materials,3200
3741,セ  ッ  ク,Communication Services,5250
3744,サイオス,Communication Services,5250
3747,インタートレード,Communication Services,5250
3750,ＡＤＲバイオメディカル,Communication Services,5250
3753,フライトソリューションズ,Communication Services,5250
3758,アエリア,Communication Services,5250
3760,ケイブ,Communication Services,5250
3762,テクマトリックス,Communication Services,5250
3763,プロシップ,Communication Services,5250
3765,ガンホー・オンライン,Communication Services,5250
3766,システムズ・デザイン,Communication Services,5250
3768,リスクモンスター,Communication Services,5250
3769,ＧＭＯ  ペイメント,Communication Services,5250
3771,システムリサーチ,Communication Services,5250
3772,ウェルス・マネジメント,Real Estate,8050
3773,アドバンスト・メディア,Communication Services,5250
3774,ネット  イニシアティブ,Communication Services,5250
3776,ブロードバンドタワー,Communication Services,5250
3777,環境フレンドリーＨＤ,Communication Services,5250
3778,さくらインターネット,Communication Services,5250
3779,ジェイ・エスコムＨＤ,Communication Services,5250
3787,テクノマセマティカル,Communication Services,5250
3788,ＧＭＯグローバルＨＤ,Communication Services,5250
378A,ヒット,Industrials,9050
3791,ＩＧポート,Communication Services,5250
3793,ドリコム,Communication Services,5250
3796,いい生活,Communication Services,5250
3798,ＵＬＳグループ,Communication Services,5250
3799,キーウェアソリューション,Communication Services,5250
3800,ユニリタ,Communication Services,5250
3802,エコミック,Communication Services,5250
3803,イメージ情報開発,Communication Services,5250
3804,システム  ディ,Communication Services,5250
3807,フィスコ,Communication Services,5250
3810,サイバーステップＨＤ,Communication Services,5250
3815,メディア工房,Communication Services,5250
3816,大和コンピューター,Communication Services,5250
3817,ＳＲＡホールディングス,Communication Services,5250
3823,ＴＨＥ  ＷＨＹ  ＨＯＷ,Communication Services,5250
3825,リミックスポイント,Consumer Cyclical,6100
3826,システムインテグレータ,Communication Services,5250
3834,朝日ネット,Communication Services,5250
3835,ｅＢＡＳＥ,Communication Services,5250
3836,アバントグループ,Communication Services,5250
3837,アドソル日進,Communication Services,5250
3839,ＯＤＫソリューションズ,Communication Services,5250
3840,ヴイクトン,Communication Services,5250
3841,ジーダット,Communication Services,5250
3842,ネクストジェン,Communication Services,5250
3843,フリービット,Communication Services,5250
3844,コムチュア,Communication Services,5250
3845,アイフリークモバイル,Communication Services,5250
3848,データ・アプリケーション,Communication Services,5250
3850,ＮＴＴ  ＤＩＭ,Communication Services,5250
3851,日本一ソフトウェア,Communication Services,5250
3853,アステリア,Communication Services,5250
3854,ア  イ  ル,Communication Services,5250
3856,Ａｂａｌａｎｃｅ,Technology,3650
3858,ユビキタスＡＩ,Communication Services,5250
3861,王子ホールディングス,Materials,3150
3863,日本製紙,Materials,3150
3864,三菱製紙,Materials,3150
3865,北越コーポレーション,Materials,3150
386A,みのや,Consumer Cyclical,6100
3877,中越パルプ工業,Materials,3150
3878,巴川コーポレーション,Materials,3200
387A,フラー,Communication Services,5250
3880,大王製紙,Materials,3150
3891,ニッポン高度紙工業,Materials,3150
3892,岡山製紙,Materials,3150
3895,ハビックス,Materials,3150
3896,阿波製紙,Materials,3150
3900,クラウドワークス,Communication Services,5250
3901,マークラインズ,Communication Services,5250
3903,ｇｕｍｉ,Communication Services,5250
3904,カヤック,Communication Services,5250
3905,データセクション,Communication Services,5250
3907,シリコンスタジオ,Communication Services,5250
3908,コラボス,Communication Services,5250
3909,ショーケース,Communication Services,5250
3910,エムケイシステム,Communication Services,5250
3911,Ａｉｍｉｎｇ,Communication Services,5250
3912,モバイルファクトリー,Communication Services,5250
3913,ＧｒｅｅｎＢｅｅ,Communication Services,5250
3914,ＪＩＧ－ＳＡＷ,Communication Services,5250
3915,テラスカイ,Communication Services,5250
3916,Ｄ  Ｉ  Ｔ,Communication Services,5250
3917,アイリッジ,Communication Services,5250
3918,ＰＣＩホールディングス,Communication Services,5250
3920,アイビーシー,Communication Services,5250
3921,ネオジャパン,Communication Services,5250
3922,ＰＲ  ＴＩＭＥＳ,Communication Services,5250
3923,ラ  ク  ス,Communication Services,5250
3925,ダブルスタンダード,Communication Services,5250
3926,オープンドア,Communication Services,5250
3927,フーバーブレイン,Communication Services,5250
3928,マイネット,Communication Services,5250
3929,ソーシャルワイヤー,Communication Services,5250
3930,はてな,Communication Services,5250
3931,バリューゴルフ,Communication Services,5250
3932,アカツキ,Communication Services,5250
3933,チエル,Communication Services,5250
3934,ベネフィットジャパン,Communication Services,5250
3935,エディア,Communication Services,5250
3936,グローバルウェイ,Communication Services,5250
3937,Ｕｂｉｃｏｍ  ＨＤ,Communication Services,5250
3939,カナミックＮ,Communication Services,5250
3940,ノムラシステム,Communication Services,5250
3941,レンゴー,Materials,3150
3943,大石産業,Materials,3150
3944,古林紙工,Materials,3150
3945,スーパーバッグ,Materials,3150
3946,トーモク,Materials,3150
3947,ダイナパック,Materials,3150
3948,光ビジネスフォーム,Materials,3150
3950,ザ・パック,Materials,3150
3951,朝日印刷,Materials,3150
3953,大村紙業,Materials,3150
3954,昭和パックス,Materials,3150
3955,イ  ム  ラ,Materials,3150
3958,笹徳印刷,Materials,3150
3962,チェンジホールディングス,Communication Services,5250
3963,シンクロ・フード,Communication Services,5250
3964,オークネット,Communication Services,5250
3965,キャピタル・アセット,Communication Services,5250
3967,エルテス,Communication Services,5250
3968,セグエグループ,Communication Services,5250
3969,エイトレッド,Communication Services,5250
3970,イノベーション,Communication Services,5250
3974,ＳＣＡＴ,Communication Services,5250
3976,シャノン,Communication Services,5250
3979,うるる,Communication Services,5250
3981,ビーグリー,Communication Services,5250
3983,オ    ロ,Communication Services,5250
3984,ユーザーローカル,Communication Services,5250
3985,テ  モ  ナ,Communication Services,5250
3986,ビーブレイクシステムズ,Communication Services,5250
3987,エコモット,Communication Services,5250
3988,ＳＹＳホールディングス,Communication Services,5250
3989,シェアリングテクノロジー,Communication Services,5250
3991,ウォンテッドリー,Communication Services,5250
3992,ニーズウェル,Communication Services,5250
3993,ＰＫＳＨＡ,Communication Services,5250
3994,マネーフォワード,Communication Services,5250
3996,サインポスト,Communication Services,5250
3997,トレードワークス,Communication Services,5250
3998,すららネット,Communication Services,5250
4004,レゾナック・ＨＤ,Materials,3200
4005,住友化学,Materials,3200
4008,住友精化,Materials,3200
4011,ヘッドウォータース,Communication Services,5250
4012,アクシス,Communication Services,5250
4013,勤次郎,Communication Services,5250
4014,カラダノート,Communication Services,5250
4015,ペイクラウドＨＤ,Communication Services,5250
4016,ＭＩＴホールディングス,Communication Services,5250
4017,クリーマ,Communication Services,5250
4019,スタメン,Communication Services,5250
4020,ビートレンド,Communication Services,5250
4021,日産化学,Materials,3200
4022,ラサ工業,Materials,3200
4023,ク  レ  ハ,Materials,3200
4025,多木化学,Materials,3200
4026,神島化学工業,Materials,3400
4027,テ  イ  カ,Materials,3200
4028,石原産業,Materials,3200
402A,アクセルスペースＨＤ,Consumer Cyclical,3700
4031,片倉コープアグリ,Materials,3200
4040,南海化学,Materials,3200
4041,日本曹達,Materials,3200
4042,東  ソ  ー,Materials,3200
4043,トクヤマ,Materials,3200
4044,セントラル硝子,Materials,3200
4045,東亞合成,Materials,3200
4046,大阪ソーダ,Materials,3200
4047,関東電化工業,Materials,3200
4051,ＧＭＯフィナンシャル,Communication Services,5250
4052,フィーチャ,Communication Services,5250
4053,Ｓｕｎ  Ａｓｔｅｒｉｓｋ,Communication Services,5250
4054,日本情報クリエイト,Communication Services,5250
4055,ティアンドエスグループ,Communication Services,5250
4056,ニューラルグループ,Communication Services,5250
4057,インターファクトリー,Communication Services,5250
4058,トヨクモ,Communication Services,5250
4059,まぐまぐ,Communication Services,5250
4060,ｒａｋｕｍｏ,Communication Services,5250
4061,デ  ン  カ,Materials,3200
4062,イビデン,Technology,3650
4063,信越化学工業,Materials,3200
4064,日本カーバイド工業,Materials,3200
4068,ベイシス,Communication Services,5250
4069,ＢｌｕｅＭｅｍｅ,Communication Services,5250
4071,プラスアルファ・コンサル,Communication Services,5250
4072,電算システムＨＤ,Communication Services,5250
4073,ジィ・シィ企画,Communication Services,5250
4074,ラキール,Communication Services,5250
4075,ブレインズテクノロジー,Communication Services,5250
4076,シイエヌエス,Communication Services,5250
4078,堺化学工業,Materials,3200
407A,ＵＮＩＣＯＮ  ＨＤ,Industrials,2050
4082,第一稀元素化学工業,Materials,3200
4088,エア・ウォーター,Materials,3200
4091,日本酸素ホールディングス,Materials,3200
4092,日本化学工業,Materials,3200
4093,東邦アセチレン,Materials,3200
4094,日本化学産業,Materials,3200
4095,日本パーカライジング,Materials,3200
4097,高圧ガス工業,Materials,3200
4098,チタン工業,Materials,3200
4099,四国化成ホールディングス,Materials,3200
409A,オリオンビール,Consumer Defensive,3050
4100,戸田工業,Materials,3200
4102,丸尾カルシウム,Materials,3200
4107,伊勢化学工業,Materials,3200
4109,ステラ  ケミファ,Materials,3200
410A,ＧＭＯコマース,Industrials,9050
4112,保土谷化学工業,Materials,3200
4113,田岡化学工業,Materials,3200
4114,日本触媒,Materials,3200
4116,大日精化工業,Materials,3200
4118,カ  ネ  カ,Materials,3200
4119,日本ピグメントＨＤ,Materials,3200
4120,スガイ化学工業,Materials,3200
4124,大阪油化工業,Materials,3200
4125,三和油化工業,Materials,3200
414A,オーバーラップＨＤ,Communication Services,5250
4151,協和キリン,Healthcare,3250
415A,ＧＭＯ  ＴＥＣＨ  ＨＤ,Industrials,9050
4165,プレイド,Communication Services,5250
4166,かっこ,Communication Services,5250
4167,ココペリ,Communication Services,5250
4168,ヤプリ,Communication Services,5250
4169,ＥＮＥＣＨＡＮＧＥ,Communication Services,5250
416A,富士ユナイトＨＤ,Industrials,6050
4170,ＫａｉｚｅｎＰＦ,Communication Services,5250
4172,Ｈｉクラテス,Communication Services,5250
4174,アピリッツ,Communication Services,5250
4175,ｃｏｌｙ,Communication Services,5250
4176,ココナラ,Communication Services,5250
4177,ｉ－ｐｌｕｇ,Communication Services,5250
4178,Ｓイノベーション,Communication Services,5250
4179,ジーネクスト,Communication Services,5250
417A,ブルーゾーンＨＤ,Consumer Cyclical,6100
4180,Ａｐｐｉｅｒ  Ｇｒｏｕｐ,Communication Services,5250
4182,三菱瓦斯化学,Materials,3200
4183,三井化学,Materials,3200
4186,東京応化工業,Materials,3200
4187,大阪有機化学工業,Materials,3200
4188,三菱ケミカルグループ,Materials,3200
4189,ＫＨネオケム,Materials,3200
4192,スパイダープラス,Communication Services,5250
4193,ファブリカホールディング,Communication Services,5250
4194,ビジョナル,Communication Services,5250
4196,ネオマーケティング,Communication Services,5250
4197,アスマーク,Communication Services,5250
4198,テンダ,Communication Services,5250
4199,ワンダープラネット,Communication Services,5250
4202,ダイセル,Materials,3200
4203,住友ベークライト,Materials,3200
4204,積水化学工業,Materials,3200
4205,日本ゼオン,Materials,3200
4206,アイカ工業,Materials,3200
4208,Ｕ  Ｂ  Ｅ,Materials,3200
4212,積水樹脂,Materials,3200
4216,旭有機材,Materials,3200
4218,ニチバン,Materials,3200
421A,ムービン・ストラテジック,Industrials,9050
4220,リケンテクノス,Materials,3200
4221,大倉工業,Materials,3200
4222,児玉化学工業,Materials,3200
4224,ロンシール工業,Materials,3200
4228,積水化成品工業,Materials,3200
4229,群栄化学工業,Materials,3200
4231,タイガースポリマー,Materials,3200
4234,サンエー化研,Materials,3200
4235,ウルトラファブリックス,Materials,3200
4237,フジプレアム,Materials,3200
4238,ミライアル,Materials,3200
423A,ライオン事務器,Industrials,6050
4240,クラスターテクノロジー,Materials,3200
4241,アテクト,Materials,3200
4242,タカギセイコー,Materials,3200
4243,ニックス,Materials,3200
4245,ダイキアクシス,Materials,3200
4246,ダイキョーニシカワ,Materials,3200
4247,ポバール興業,Materials,3200
4248,竹本容器,Materials,3200
4249,森六,Materials,3200
4251,恵    和,Materials,3200
4255,ＴＨＥＣ００,Communication Services,5250
4256,サインド,Communication Services,5250
4258,網屋,Communication Services,5250
4259,エクサウィザーズ,Communication Services,5250
4260,ハイブリッドテクノロジー,Communication Services,5250
4261,アジアクエスト,Communication Services,5250
4262,ニフティライフスタイル,Communication Services,5250
4263,サスメド,Communication Services,5250
4264,セキュア,Communication Services,5250
4265,ＩＧＳ,Communication Services,5250
4270,ＢｅｅＸ,Communication Services,5250
4272,日本化薬,Materials,3200
4274,細谷火工,Materials,3200
4275,カーリット,Materials,3200
4284,ソルクシーズ,Communication Services,5250
4286,ＣＬホールディングス,Industrials,9050
4287,ジャストプランニング,Communication Services,5250
4288,アズジェント,Communication Services,5250
428A,サイプレスＨＤ,Consumer Cyclical,6100
4290,プレステージ・インター,Industrials,9050
4293,セプテーニ・ＨＤ,Industrials,9050
4299,ハイマックス,Communication Services,5250
429A,テクセンドフォトマスク,Industrials,3800
4301,アミューズ,Industrials,9050
4307,野村総合研究所,Communication Services,5250
4308,Ｊストリーム,Communication Services,5250
4310,ドリームインキュベータ,Industrials,9050
4316,ビーマップ,Communication Services,5250
4317,レイ,Industrials,9050
4318,クイック,Industrials,9050
431A,ユーソナー,Communication Services,5250
4320,ＣＥホールディングス,Communication Services,5250
4323,日本システム技術,Communication Services,5250
4324,電通グループ,Industrials,9050
4326,インテージ  ＨＤ,Communication Services,5250
4331,テイクアンドギヴ・ニーズ,Industrials,9050
4334,ユークス,Communication Services,5250
4335,ＩＰＳホールディングス,Communication Services,5250
4337,ぴ    あ,Industrials,9050
4341,西菱電機,Industrials,9050
4343,イオンファンタジー,Industrials,9050
4344,ソースネクスト,Communication Services,5250
4345,シーティーエス,Industrials,9050
4346,ＮＥＸＹＺ．Ｇｒｏｕｐ,Financials,7200
4347,ブロードメディア,Industrials,9050
4350,メディカルシステム,Consumer Cyclical,6100
4351,山田再生系債券回収,Financials,7200
4356,応用技術,Communication Services,5250
4360,マナック・ケミカルＰ,Materials,3200
4361,川口化学工業,Materials,3200
4362,日本精化,Materials,3200
4365,松本油脂製薬,Materials,3200
4366,ダイトーケミックス,Materials,3200
4368,扶桑化学工業,Materials,3200
4369,トリケミカル研究所,Materials,3200
436A,サイバーソリューションズ,Communication Services,5250
4370,モビルス,Communication Services,5250
4371,コアコンセプト・テクノ,Communication Services,5250
4372,ユミルリンク,Communication Services,5250
4373,シンプレクスＨＤ,Communication Services,5250
4374,ＲＯＢＯＴ  ＰＡＹＭＥＮ,Communication Services,5250
4375,セーフィー,Communication Services,5250
4376,くふうカンパニーＨＤ,Communication Services,5250
4377,ワンキャリア,Communication Services,5250
4378,ＣＩＮＣ,Communication Services,5250
4379,Ｐｈｏｔｏｓｙｎｔｈ,Communication Services,5250
4380,Ｍマート,Communication Services,5250
4381,ビープラッツ,Communication Services,5250
4382,ＨＥＲＯＺ,Communication Services,5250
4385,メルカリ,Communication Services,5250
4386,ＳＩＧグループ,Communication Services,5250
4387,ＺＵＵ,Communication Services,5250
4388,エーアイ,Communication Services,5250
4389,プロパティデータバンク,Communication Services,5250
438A,インフキュリオン,Communication Services,5250
4390,アイ・ピー・エス,Communication Services,5250
4391,ロジザード,Communication Services,5250
4392,Ｆ  Ｉ  Ｇ,Communication Services,5250
